author,clean_comment,likes,publishedAt
@MahoMaho-b6k4o,dpr gak gajian dulu bulan buat bayar hutangbaru hari bulan seperti biasanya,0,2025-09-19T02:46:13Z
@shineinouzen7669,malah naik level anggota sebelum jt bulan tapi tunjangan rumah jt cuma sampai oktober bulan penganggti rumah tahun jt x bulan jt jt skrg jt kami tidak goblok,0,2025-09-15T03:54:01Z
@RIRINANJARSARI-zn6bb,masih byk bgtt,0,2025-09-14T15:58:39Z
@maelanambasfishing5896,iyaa juta belum reses juta x sehun tambah lagi jt x setahun hitung lah,0,2025-09-14T11:22:48Z
@We_Overkill,msih bnyak bner tunjangan anjirrr ke rumah padang aja klo mau nasi tunjang,0,2025-09-14T11:16:39Z
@KartinaSuprapto,itu pun sdh terlalu banyak,0,2025-09-14T06:00:33Z
@hariprasetiyo1758,tunjangan yg sampe puluhan juta apakah slalu dipake trus fungsinya apa,0,2025-09-12T16:48:04Z
@Hbuhih,juta capek demo tunjangan lagi,0,2025-09-12T03:15:28Z
@RonalBuyung,tunjangan gatel,0,2025-09-11T16:29:32Z
@Niketut-tirta,kmi tidak setuju,0,2025-09-11T15:27:57Z
@Niketut-tirta,gajih dpr samakan dgn pns saja,0,2025-09-11T15:27:16Z
@Niketut-tirta,knpa besar sekali pns saja cuman tiga juta tuju ratus polisi tiga juta gajih pokok dan remon dua juta tuju ratus tni juga segitu gajihnya jadi dpr samakan gajihnya segitu juga agar adil,0,2025-09-11T15:24:27Z
@Niketut-tirta,sama kan gajih dpr dgn pns tiga juta saja,0,2025-09-11T15:18:08Z
@HermanPutra-r6c,dpr ri kerja mbikin sandiwara dgn gaji ygberlipatganda,0,2025-09-11T14:42:55Z
@alanpratama2703,emang anjing kita hanya di tipu,0,2025-09-11T14:40:18Z
@KipasAngin-y4y,tunjangan kehormatan itu sebenarnya fungsinya untuk apa,0,2025-09-11T11:01:19Z
@prakeff4508,masih gede korupsi proyek siluman dllduit pajak rakyat buat bancakanrakyat di pecut suruh bayar pajakbuat di korupsi sekalian wapres tuh pecat gak guna,0,2025-09-11T10:58:22Z
@uyabasin,sama aja kayanya gak ada yg berubah,0,2025-09-11T10:32:22Z
@jurianisulaiman7353,masih ketinggian,0,2025-09-11T10:07:05Z
@AiZnxPlayer,juta kocak malah nambah apanya yang dipangkas malah istilah tunjangan nya yg diubah lalu alihkan dengan sebutan honorarium apa apaan ini,0,2025-09-11T07:38:22Z
@yuhide,gk pduli gajiny bsar tau kcil yg pnting krjaan slesai dan kpten,0,2025-09-11T05:55:01Z
@ALEXANDERKUSUMA-z5v,dpr keok,0,2025-09-11T04:16:43Z
@pondokalhidayah135cc7,dana aspirasi dan dana kunjungan gak di spil,0,2025-09-11T03:43:28Z
@SusiSulawati-l9t,gajih sebulan kasih ajah sepuluh juta sudah itu juga sudah gede di banding gajih guru jangan ada tunjangan tunjangan,0,2025-09-10T18:06:04Z
@indrayoga6600,uang sidang per paket itu maksudnya gimana per sidang atau gimana,0,2025-09-10T06:52:34Z
@Bulls_0,anjing banget ga tuh banyak banget nih yg di tunjang,0,2025-09-10T04:32:49Z
@shiondenta828,selama puan ada susah itu,0,2025-09-10T03:34:59Z
@agentipu-tipu,masih kebanyakan gaji dpr cukup gaji pokok saja biar sana dengan rakyat,0,2025-09-09T23:11:47Z
@harsonoews2869,aneh tinggal di kota sendiri rata sdh punya rumah masih dpt tunjangan perumahan pantas menkeu lama selalu devisit anggaran bla nla bla akhirnya rakyat di cekik dg pajak,0,2025-09-09T22:25:25Z
@AdeAtikah-b9g,masih sangat besarkami rakyat kecil sangat susah,0,2025-09-09T03:40:36Z
@sutimansudjar986,waduh bingung cari ceperan biar bini simpanan gk kabur,0,2025-09-09T00:41:26Z
@MATITUPASTI,bagi dpr sri itu malaikat tp bagi rakyat dia setan karna sebagian gaji dpr dia yg ambil keputusan kan gila,0,2025-09-08T23:53:32Z
@nyonkparyanto755,ga perlu ada pemangkasanydah biasa terima duit banyakteteo ada jalan korupsi,0,2025-09-08T23:44:10Z
@dikisaputra9138,kecil itu mh mnding hapus tunjangan pensiunanpotong dana reses yg didapet tahun sekali per m,0,2025-09-08T20:12:19Z
@ArsyilaRais-q5r,kebijakan kenaikan guru honorer yg harus diutamakan bila perlu setara dengan gaji dpr itu baru namanya adil,0,2025-09-08T15:34:17Z
@FeriYanto-uj7yh,sudah di langkas kox masih tetap berpuluh juta,0,2025-09-08T15:15:21Z
@ariepfseem91,masih terlalu besar untuk ukuran rakyat indonesia mosok rakyat yg buruh kerja udah bangga dengan gajih juta sementara masih banyak yang nganggguurrr kesejahteraan hanya untuk pejabat indonesia tks,0,2025-09-08T14:47:18Z
@Gustinah-p3u8t,di hilangkan berapa aitem muncul baru uang ituini banyak sekali semua dibayar enak kali dosenguru jam memanusiakan manusia belum memberikan rasa keadilan di pangkas di tambah seperti lingkaran yg tidak berujung masih kesenjangan sosial dpr corong rakyat diberikan spec tunjangan iniitu,0,2025-09-08T14:34:23Z
@faridammar1062,kenapa ga di samain aja seperti gaji pns ato asn dgn golongan nya masing ybs biar merata gitu ini mh aduuuh msh tetep aja msh gede,0,2025-09-08T14:13:17Z
@ElmiPalopo,edede banyak skli gajinya kita tahun baru bisa kumpulkan segitu,0,2025-09-08T13:43:12Z
@dwisusershi4157,kebanyakan honor honor nya komunikasi masyarakat apa turun ke desa sama babinsa bhabinkamtibmas biar tau warganya,0,2025-09-08T13:26:44Z
@Momo-kr4jt,tapi masih dapat uang lumayan dimasa reses,0,2025-09-08T13:23:38Z
@ernawati-mz6ri,tunjangan komunikasi dengan masyarakat tu harus di hapus,0,2025-09-08T13:19:15Z
@Andrex_Andro,setarakan dg pnstunjangan cm hari raya petani mana ada tunjanganumr pun gk adatp bisa nggaji dpr,0,2025-09-08T13:08:43Z
@ciell._26,negara pembangunan masih gak merata uang nya malah dipake buat bayar gaji dpr tinggi tinggi wkwk,0,2025-09-08T12:36:39Z
@dwipurnamasari5630,paham ngga wakil itu ya sama dg rakyat minim ini darurat ekonomi jt tunjangan masih ketinggian,0,2025-09-08T12:36:00Z
@PraSetyo-d8l,bayar pajak nya mana harus bayar jgn di tanggung pemerintah,0,2025-09-08T12:19:30Z
